Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,24/02/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,16150.65107,18992.06838,22468.50712,24730.39645,24763.65381,25460.36303,25743.4455,25870.1534,26581.97675,26504.18642,25779.59793,26547.41661,26418.08833,26384.81059,28104.89544,29007.7387,28535.46395,28525.80771,29959.77482,29081.7067,28885.91187,29556.83847,29870.66481,26204.05974,25429.2181,26093.05421,25444.73366,26680.14112,26773.82268,27458.22015,27587.2498,28548.89043,29419.20862,29699.18054,22729.88976,26292.91794,29195.26702,31430.93537,33373.91746,
Africa Eastern and Southern,AFE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1186.34962,1160.458789,1219.356473,1253.445317,1275.886801,1304.275651,1329.349592,1361.046234,1377.225802,1406.527848,1381.683601,1415.958631,1414.312262,1437.080155,1471.295277,1448.569248,1439.981246,1415.348407,1394.004525,1390.618796,1423.113038,1433.974089,1392.88662,1350.787357,1355.047856,1313.726596,1304.018904,1315.363517,1332.473181,1329.882345,1293.8702,1257.430106,1195.089233,1152.691173,1143.988455,1163.209534,1195.139953,1209.817419,1199.802744,1199.52915,1205.981054,1216.335357,1231.444568,1235.711648,1271.312757,1314.387938,1364.705254,1417.472432,1440.597284,1414.587751,1449.48916,1468.630572,1456.722813,1478.977977,1495.955574,1498.87524,1490.907546,1490.911098,1489.942137,1479.372387,1399.398498,1425.209057,1440.430366,1431.72179,1435.356278,
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.3182697,277.1180514,338.1399736,346.0716271,338.6372739,363.6401414,367.7583117,410.7577289,417.6472826,488.8306525,542.8710305,525.4269828,568.9290215,580.6038333,575.1462458,565.5697304,563.8723367,562.7695741,553.1251517,557.8615332,527.8345545,408.6258552,377.6656271,378.0663031,,
Africa Western and Central,AFW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1130.411973,1127.572551,1144.920732,1199.197534,1236.216308,1258.758091,1212.139623,1078.742506,1070.792718,1203.089509,1378.008232,1485.095154,1495.035946,1514.982351,1622.479733,1547.833801,1633.776148,1662.496283,1585.725007,1619.007429,1603.202278,1454.731365,1366.898559,1246.399275,1219.86149,1250.108612,1231.723348,1215.363541,1238.715918,1225.625316,1260.279788,1241.130774,1235.032264,1186.187798,1152.470466,1142.278106,1162.997495,1181.462195,1190.833712,1176.33412,1188.037306,1215.849491,1299.695421,1334.725943,1402.228768,1441.988594,1475.923183,1513.01943,1562.211246,1612.488373,1677.952383,1711.539231,1749.981387,1805.798424,1857.171163,1860.727686,1815.171203,1808.722201,1814.694636,1829.068064,1719.261504,1721.909475,1757.45659,1778.864347,1816.346044,
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,3186.739597,2937.551293,2831.469942,2842.765399,2903.70027,2896.783036,2874.860184,2890.075476,2964.572345,2866.246114,2675.052394,2612.331705,2380.582742,1752.723187,1719.542945,1912.517775,2099.350454,2176.87758,2203.986927,2179.06427,2172.463267,2189.173522,2404.977921,2403.404152,2583.324115,2843.396636,3065.055762,3336.363325,3559.195225,3494.807245,3540.791596,3528.168244,3682.352293,3716.297187,3746.8162,3641.728939,3454.033172,3328.898212,3196.79007,3083.975344,2864.16146,2832.817771,2860.902519,2809.15728,2845.477793,
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,1823.48926,1890.021975,1905.063527,1885.6928,1823.323563,1818.02507,1883.740414,1831.947039,1772.179358,1894.878274,1682.881087,1218.964273,1138.23774,1254.678884,1367.22059,1558.966386,1683.769655,1495.900353,1630.438741,1841.807628,1991.914359,2188.918545,2297.108535,2428.689347,2567.297637,2712.869838,2894.360326,3105.879676,3345.981618,3459.246956,3579.824132,3677.894579,3771.847819,3895.899756,4045.119349,4199.539129,4431.556358,4648.230787,4893.823755,5072.436484,4980.616995,5511.757434,5867.650962,6198.171953,6549.233874,
Andorra,AND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,43005.56261,41930.17022,42354.76503,42738.18839,42363.46588,40073.42919,39058.60701,38021.83769,36647.71926,34984.01553,34281.76005,32958.78053,31996.55923,31117.21084,30392.85634,29997.10036,29680.14689,30065.01209,30469.35855,31180.42698,31143.1615,29642.31991,28161.95572,26518.24609,26587.15079,27619.51904,28871.22964,31140.70431,31800.37901,32938.65921,34113.8334,36790.12099,38084.5022,39620.33877,40054.33997,40528.1939,41322.07233,40789.17813,37775.14388,35604.40073,36277.28148,37637.50451,36206.99544,35684.1862,37300.64194,38654.95288,40085.03943,39361.08075,39242.16333,39346.29352,34536.66615,36929.0365,39780.4153,40227.25243,41034.52667,
Arab World,ARB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,2395.356657,2486.411862,2676.453679,2793.888453,3337.446902,3486.385315,3860.830668,4247.555252,4557.377057,4417.721641,4891.800304,5053.919255,5034.116803,5377.870034,5521.183405,5392.587741,4914.869242,4583.436024,4497.033604,4324.147518,4161.667286,4049.429265,4067.954089,4111.569852,4290.848651,4163.659558,4324.832647,4343.344472,4367.613184,4377.941268,4478.22853,4609.89247,4714.104266,4730.375336,4910.082592,4892.988553,4835.589417,4926.589283,5250.083752,5412.649413,5614.91183,5727.333223,5894.477466,5787.827126,5948.129165,6036.420834,6218.046322,6220.638587,6238.072566,6290.558795,6366.048656,6322.526144,6377.120474,6367.60444,5904.571242,6073.562242,6351.571842,6311.4216,6282.032743,
United Arab Emirates,ARE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,48741.07321,56948.79296,68920.96675,107395.0828,109718.5557,105006.9675,107855.5657,113580.0306,98091.99049,105254.4597,117073.2116,113152.6854,99530.3839,89516.24581,88072.09622,80474.98974,64264.53681,61928.08793,56449.89131,59585.93357,66481.61376,63430.91546,62201.62434,59942.85886,61156.65096,62393.33149,61871.36716,61715.55497,57355.78583,54943.7501,56939.27018,54169.41535,52216.87532,53619.19257,55611.4194,55363.5661,56629.97614,52038.61596,47922.69882,42672.19879,42328.85082,43687.77828,43958.56811,44312.63372,44257.65148,44910.335,45168.49825,43293.02038,43377.78587,43468.45868,39878.47443,40935.89366,41828.55533,41926.58236,41605.41687,
Argentina,ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,7397.109655,7670.595456,7480.271724,6967.750196,7551.024908,8219.551556,8041.224874,8172.274565,8436.308564,9111.945975,9244.122518,9614.610617,9617.688149,9729.532589,10100.44691,9936.495834,9584.748518,10088.33749,9480.940095,10284.60641,10275.7987,9587.673794,9365.684654,9617.700057,9614.447262,8973.318749,9378.468664,9484.458766,9236.807713,8445.410092,8115.093864,8729.823185,9293.186923,9920.673586,10359.89272,9934.107761,10352.14,11056.68813,11348.20221,10838.31993,10631.65036,10051.94485,8861.561993,9545.531941,10302.44653,11099.75092,11870.27916,12811.90212,13197.35703,12285.37847,13387.15537,14040.61891,13754.42542,13946.09508,13456.13192,13679.6265,13265.88606,13520.11298,13058.32854,12706.39781,11393.0506,12549.28117,13276.82321,12993.09289,12774.35066,
Armenia,ARM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1644.022145,1426.827914,840.2052592,792.5678592,857.3944748,932.3578295,995.7282753,1039.079824,1128.098888,1180.45342,1229.215104,1351.120727,1535.204529,1759.646848,1955.222625,2240.092732,2551.435464,2919.373494,3141.331935,2716.974363,2796.081434,2943.836871,3159.758608,3266.29883,3393.092523,3512.393503,3533.885036,3815.374743,4027.83393,4343.458396,4032.090435,4264.799615,4791.004817,5197.23509,5378.318,
American Samoa,ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13054.63643,13201.73475,13291.53566,13284.27911,12794.7565,13092.31114,12809.46331,12342.05754,12446.30863,12521.80951,12068.26674,11871.79372,12203.08947,12727.41027,12665.28299,11930.77712,12412.60241,12524.01603,13194.27474,13233.57848,13709.09749,,,
Antigua and Barbuda,ATG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,6062.497309,6310.85528,6795.693191,7323.125855,7584.592527,7564.221824,7951.664826,8766.990576,9479.642511,10620.99819,11383.20247,12037.42653,12729.29043,13166.52412,13385.01144,13326.27288,13776.82641,14420.4694,13519.52877,14117.86791,14588.30798,14991.78026,15282.9734,15961.09184,15003.43892,14968.0703,15703.93471,16433.41305,17301.21343,19259.64865,20770.26897,20464.78631,17746.70086,16135.39738,15633.90911,15989.39002,15748.1952,15967.285,16077.63408,16635.89523,16992.93275,18042.15964,18525.25889,14950.89424,16084.72144,17456.87222,17789.40581,18350.18504,
