Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,24/02/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.76497362,37.84518363,35.02646682,50.308515,61.88460718,68.72590307,75.17389539,84.20363957,86.60613295,90.30513198,104.3537237,112.5002356,109.2765499,104.9792803,98.4927354,90.79809233,85.68745981,89.86726049,89.96936937,87.03987732,81.44614016,92.35033318,92.0352884,88.48558529,,
Afghanistan,AFG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.70697403,17.74602509,21.42300415,25.11388779,28.9412632,32.70893097,39.88624954,43.13351822,46.42438889,52.18721771,52.45247269,56.16043472,60.04951096,59.91960526,61.37234497,66.82388306,71.22509003,74.0642395,80.0892334,81.52112579,80.6516037,59.06770706,,
Africa Western and Central,AFW,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1469163,18.71238121,19.71947196,31.62617137,36.11329811,41.82281391,48.64826705,52.77762009,60.55427263,55.50332567,59.57979151,65.36475038,67.95899075,75.49070816,78.73660536,70.70500189,61.70024285,58.50981705,56.28604087,59.26713426,64.62418988,72.63284957,74.44125282,65.8868542,,
Angola,AGO,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.15998554,29.26095772,29.37077141,35.2206955,50.23310852,54.66142273,70.28185272,93.42698669,136.3409424,120.5289917,96.95197296,122.1188812,121.8484802,142.7845001,130.5861969,107.5285721,94.01481628,112.7536469,83.87555695,64.4466095,56.01641846,66.94487,103.9450607,76.07118225,,
Albania,ALB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.47674561,73.92171478,78.72909546,105.436676,136.5072479,149.9751587,164.2209015,209.3191071,237.1034088,236.9424439,253.9824677,273.7529297,260.683197,276.0765686,293.1267395,253.9334717,275.4367676,295.523468,349.2112732,366.3401489,396.1747742,465.5704346,506.8692017,590.6279907,,
Andorra,AND,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1294.091187,1378.708374,1590.685547,1888.135742,2060.269287,2279.530518,2151.950928,2388.174072,2790.112549,2679.673584,3286.529541,3555.523193,2788.692383,2886.972412,3005.215576,2672.497314,2785.645996,2876.241943,3159.161621,3021.078125,3282.025879,3668.44751,3190.113281,3605.197998,,
Arab World,ARB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.8593749,114.5414561,113.3356663,109.5193075,120.2083648,133.7195052,153.2555195,179.2388393,210.9543039,227.0761117,234.640952,266.8665535,295.0806439,303.5901986,326.499751,312.6098831,311.9479785,307.1266179,325.5921646,326.6709457,327.0696256,336.5871947,348.7672622,363.4651244,,
United Arab Emirates,ARE,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706.0311279,689.2927856,754.262207,784.8934326,821.7492065,898.3648071,1031.149048,1176.493286,1465.824463,1531.022095,1619.988647,1787.599976,1711.385254,1789.685791,1776.731079,1479.497437,1592.919067,1695.203125,1872.584229,1962.467285,2154.411133,2249.963135,2240.905029,2401.520264,,
Argentina,ARG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702.2330933,660.6337891,219.9640808,261.2038269,303.3190613,395.6459656,456.0624695,569.272644,745.4035645,787.7805176,979.7689209,1208.231201,1363.216187,1428.911255,1291.324585,1523.90979,1276.797852,1491.118774,1195.599731,1007.456299,910.9586792,1182.159302,1415.795776,1456.985962,,
Armenia,ARM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6606369,31.90725899,59.20983887,66.31577301,71.65074158,95.55093384,124.8989563,170.1533203,261.5996399,247.9064179,291.7775879,325.290863,331.9137878,392.8525391,404.3387451,365.5195007,359.5822754,409.8014526,428.3457947,533.6995239,535.2723999,595.8354492,674.7861939,766.9587402,,
American Samoa,ASM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.1221314,572.2077637,559.083313,613.6511231,597.7490234,641.3157959,665.1156006,714.2749634,694.0334473,609.5039063,724.0888062,717.2818604,753.5018311,739.1049194,826.7559815,789.3097534,817.888916,791.12323,856.3712769,808.1499634,873.5246582,835.0651245,891.0032349,841.2488403,,
Australia,AUS,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1626.733887,1550.373901,1752.938965,2227.127686,2744.081055,2995.872559,3174.868652,3792.809814,4083.429443,3989.441162,4947.963379,5876.885254,6038.871582,5811.868652,6098.254395,5271.933105,5418.436523,5770.69043,5843.647949,5543.378418,5968.003418,7092.134766,6723.982422,6980.385254,,
